timestamp,model,device,text_chars,rtf,latency_s,cpu_pct,ram_baseline_mb,ram_peak_mb,ram_spike_mb,gpu_mem_mb,cpu_peak_pct,mlx_peak_mb,swap_delta_mb,sys_avail_min_mb
2026-07-27 16:01:01,piper,cpu,88,0.0892,0.4579,,333.48,430.12,96.64,0.0,,,,
2026-07-27 16:07:17,kokoro-82m,mps,88,3.2178,18.7438,,380.56,245.39,-135.17,0.0,,,,
2026-07-27 16:08:04,inflect-micro-v2,mps,88,0.7489,4.0181,,375.09,429.64,54.55,41.73,,,,
2026-07-27 16:09:02,kokoro-82m,mps,88,1.9814,11.5418,,410.86,333.22,-77.64,0.0,,,,
2026-07-27 16:09:05,piper,cpu,88,0.0467,0.2325,,365.28,463.02,97.73,0.0,,,,
2026-07-27 16:09:08,inflect-micro-v2,mps,88,0.199,1.0675,,364.97,514.47,149.5,41.73,,,,
2026-07-27 16:10:36,kokoro-82m,mps,88,0.8493,4.9473,,415.73,424.25,8.52,0.0,,,,
2026-07-27 16:14:59,inflect-micro-v2,mps,316,0.1618,3.2074,,325.62,252.52,-73.11,41.38,,,,
2026-07-27 16:16:37,kokoro-82m,mps,316,0.513,11.1698,,415.94,239.06,-176.88,0.0,,,,
2026-07-27 16:20:47,piper,cpu,316,0.0387,0.7039,,365.02,678.78,313.77,0.0,,,,
2026-07-27 16:22:22,kokoro-82m,mps,88,0.355,2.0679,,275.69,286.92,11.23,582.9,,,,
2026-07-27 16:23:13,kokoro-82m,mps,316,0.1846,4.0189,,306.06,160.41,-145.66,819.25,,,,
2026-07-27 16:36:14,macos-say,cpu,88,0.1671,0.877,,198.7,187.33,-11.38,0.0,,,,
2026-07-27 16:40:10,macos-say,cpu,88,0.1921,1.0081,,2.16,2.14,-0.02,0.0,,,,
2026-07-27 16:59:59,kokoro-mlx-bf16,mps,88,1.7471,10.177,,289.72,41.05,-248.67,0.0,,,,
2026-07-27 17:00:37,kokoro-mlx-8bit,mps,88,0.4399,2.5734,,118.41,41.58,-76.83,0.0,,,,
2026-07-27 17:01:25,kokoro-mlx-4bit,mps,88,0.5103,3.0108,,145.97,36.8,-109.17,0.0,,,,
2026-07-27 17:02:14,kokoro-mlx-bf16,mps,88,0.1358,0.7913,,317.09,347.47,30.38,0.0,,,,
2026-07-27 17:02:18,kokoro-mlx-8bit,mps,88,0.1356,0.7934,,426.23,383.31,-42.92,0.0,,,,
2026-07-27 17:02:21,kokoro-mlx-4bit,mps,88,0.1355,0.7997,,421.25,338.58,-82.67,0.0,,,,
2026-07-27 17:11:56,macos-say,cpu,225,0.329,3.9175,,184.77,13.05,-171.72,0.0,,,,
2026-07-27 17:11:59,piper,cpu,225,0.0604,0.7298,,267.33,312.84,45.52,0.0,,,,
2026-07-27 17:12:05,inflect-micro-v2,mps,225,0.2297,2.8783,,319.94,224.17,-95.77,41.94,,,,
2026-07-27 17:12:23,kokoro-82m,mps,225,0.3555,5.2528,,306.8,203.41,-103.39,702.93,,,,
2026-07-27 17:12:35,kokoro-mlx-bf16,mps,225,0.1571,2.3215,,33.58,32.67,-0.91,0.0,,,,
2026-07-27 17:12:42,kokoro-mlx-8bit,mps,225,0.1484,2.1845,,61.28,32.33,-28.95,0.0,,,,
2026-07-27 17:12:49,kokoro-mlx-4bit,mps,225,0.1565,2.3475,,58.2,36.12,-22.08,0.0,,,,
2026-07-27 17:23:03,macos-say,cpu,88,0.1699,0.8917,,2.41,2.41,0.0,,,,,
2026-07-27 17:23:19,kokoro-mlx-bf16,mps,88,0.1628,0.9484,,32.22,53.23,21.02,,,,,
2026-07-27 17:23:23,kokoro-mlx-8bit,mps,88,0.1486,0.8694,,304.56,298.53,-6.03,,,,,
2026-07-27 17:23:26,kokoro-mlx-4bit,mps,88,0.1499,0.8842,,388.3,333.03,-55.27,,,,,
2026-07-27 17:23:46,kokoro-82m,mps,88,0.3235,1.8841,,612.06,454.81,-157.25,582.9,,,,
2026-07-27 18:03:30,kokoro-82m,mps,88,0.3672,2.1389,44.7,280.72,347.92,67.2,582.9,,,,
2026-07-27 18:03:33,piper,cpu,316,0.0384,0.6924,347.4,365.3,695.41,330.11,0.0,,,,
2026-07-27 18:03:37,inflect-micro-v2,mps,88,0.2812,1.509,25.5,366.45,516.27,149.81,41.73,,,,
2026-07-27 18:03:46,kokoro-mlx-bf16,mps,88,0.1434,0.8354,37.5,49.11,47.56,-1.55,,,,,
2026-07-27 18:03:50,kokoro-mlx-8bit,mps,88,0.1365,0.7988,38.7,300.0,298.8,-1.2,,,,,
2026-07-27 18:03:53,kokoro-mlx-4bit,mps,88,0.1514,0.8932,39.0,394.47,310.83,-83.64,,,,,
2026-07-27 18:56:26,macos-say,cpu,88,0.2466,1.2944,,,,,,,,,
2026-07-27 18:56:46,kokoro-82m,mps,88,1.5375,8.9562,13.3,248.25,135.17,-113.08,582.9,,,,
2026-07-27 18:56:49,piper,cpu,316,0.0461,0.8475,320.8,364.56,685.88,321.31,0.0,,,,
2026-07-27 18:56:55,inflect-micro-v2,mps,88,0.7357,3.9475,11.6,365.0,516.69,151.69,41.73,,,,
2026-08-13 10:28:14,piper,cpu,316,0.0382,0.6983,334.7,352.34,655.81,303.47,0.0,404.9,0.0,0.0,1570.2
2026-08-13 10:28:18,macos-say,cpu,88,0.6857,3.5986,,,,,,,0.0,0.0,1427.47
2026-08-13 10:28:37,kokoro-mlx-bf16,mps,88,0.1801,1.0489,43.2,32.59,71.73,39.14,,124.9,1500.89,367.31,947.67
2026-08-13 10:28:42,kokoro-mlx-8bit,mps,88,0.243,1.4217,27.6,92.22,132.48,40.27,,116.1,1773.67,0.0,682.58
2026-08-13 10:28:46,kokoro-mlx-4bit,mps,88,0.2089,1.2323,28.5,318.34,357.11,38.77,,134.1,2054.36,30.69,612.06
2026-08-13 10:29:20,kokoro-mlx-bf16,mps,88,0.1348,0.7855,39.0,293.69,315.23,21.55,,118.7,1500.89,0.0,1255.33
2026-08-13 10:29:23,kokoro-mlx-8bit,mps,88,0.132,0.772,39.3,395.98,424.58,28.59,,124.0,1461.08,0.0,1020.66
2026-08-13 10:29:27,kokoro-mlx-4bit,mps,88,0.147,0.8674,34.9,458.44,464.8,6.36,,120.9,1464.99,0.0,961.83
2026-08-13 10:32:20,macos-say,cpu,88,0.2338,1.2272,,,,,,,,0.0,2788.19
